"mfId","date","price"
"001r5ih71ArIZh3aP89c4QPkNh241fbF","2022-11-22",1780.89
"001r5ih70vdRRz00ATHr2ybW7V0rrrFS","2022-11-22",1386.08
"001r5ih73hza4O3WcFsd3c4N400n0a2f","2022-11-22",1289.63
"001r5ih73jD8dK3R80Dm3ACXMs2eOrlU","2022-11-22",1787.07
"001r5ih71HcV832227rc16jHKx2aW5GY","2022-11-22",595.35
"001r5ih73QaD150RClIU1CHNV52YeBTK","2022-11-22",1103.73
"001r5ih71JrNrM0sP3Sg0qLOSb1Et3f8","2022-11-22",1072.65
"001r5ih73YRnmC1ykxSR1cgIF61O3o34","2022-11-22",736.39
"001r5ih74Rp04I0rFyge4fmgeS2xuXaM","2022-11-22",421.64
"001r5ih718uZJh3JHwPQ16Cbrd38bqKb","2022-11-22",743.81
"001r5ih736qKsh1rf3JT2Z2SoU3Ag00Y","2022-11-22",418.83
"001r5ih70QH7LZ3MAVKj0LXPeU3EYJgd","2022-11-22",75.69
"001r5ih73RUOMe2o2Jjm4Ljch71BK2Zz","2022-11-22",145.23
"001r5ih70NU02v1xf4GZ04OCZk1P6FsR","2022-11-22",1327.11
"001r5ih70TdLdn3u9BVi199wMD3Ko7jc","2022-11-22",1018.44
"001r5ih70s1EYg0lxySi3CG73F1kkWnI","2022-11-22",423.41
"001r5ih73C5cM94TAgej25MPc70t6reg","2022-11-22",1379.62
"001r5ih70bXqUw4LWWoT3L11fh02xCG3","2022-11-22",429.47
"001r5ih729ZV7M2LRptA0ypSED2mSgcq","2022-11-22",1046.19
"001r5ih73210h03eJtKz1BOisK2zO31U","2022-11-22",993.39
"001r5ih71KMCD648gR3k2y68a21b7jO6","2022-11-22",1086.52
"001r5ih733zpyc15f9qv1ME1Am0Dl4AI","2022-11-22",664.8
"001r5ih71THunF1cM4L21BBfsl3URJtX","2022-11-22",1979.9
"001r5ih73hUHOw4g389O0Iy1z442hGki","2022-11-22",1410.9
"001r5ih70ykRln3nCRbE3LmXnH0Jmybh","2022-11-22",37.45
"001r5ih71Q9szL3in1hy1PnhT51TvpGD","2022-11-22",578.16
"001r5ih73v9P1V2Ayctc4MfTVg2W0IHN","2022-11-22",281.83
"001r5ih720KwhY1SZyLq2tjzg549QdIl","2022-11-22",1022.01
"001r5ih70xqvQT3gL47h1WgKK51wV0mb","2022-11-22",846.96
"001r5ih73jQiPQ4ayEG91rPouZ3sjBqT","2022-11-22",1688.22
"001r5ih71JYx3634UiLl3VJQPg01mS8P","2022-11-22",264.41
"001r5ih73vreB604WTgj09afMd3NGsk4","2022-11-22",1667.83
"001r5ih71UCqrD1aBv0h1npgZA1ziMWG","2022-11-22",535.62
"001r5ih718LchT0L3Yro1W36AN0QNswP","2022-11-22",1670.73
