LOANID,CUSTOMERID,LOANTYPE,LOANAMOUNT,INTERESTRATE,LOANSTATUS,EMI,LOANTERM,DISBURSEMENTDATE,REPAYMENTSCHEDULE
UKXN32848501988368,1548,Credit Card Loan,38389696,10.89,Rejected,27998,8,YYYY-13-DD 13:13:SS,5th of every Month
TANY78981806145400,1317,Business Loan,42455636,12.26,Rejected,22353,8,YYYY-12-DD 19:12:SS,6th of every Month
IJLL28558915671779,2331,Credit Card Loan,68264163,7.79,Approved,28322,9,YYYY-10-DD 00:10:SS,6th of every Month
DLZY42697565409199,1248,Auto Loan,56127432,11.6,Pending,30382,21,YYYY-58-DD 05:58:SS,5th of every Month
SUTZ59186527973655,2336,Auto Loan,78859190,10.4,Pending,30535,7,YYYY-35-DD 09:35:SS,4th of every Month
TPLE03779951273803,2454,Business Loan,56202816,7.71,Rejected,15973,8,YYYY-17-DD 18:17:SS,7th of every Month
XNMP40873789986829,1546,Auto Loan,98244753,7.4,Rejected,15007,19,YYYY-40-DD 12:40:SS,6th of every Month
HPPB20022181161987,1083,Credit Card Loan,44448949,12.21,Rejected,13929,28,YYYY-09-DD 18:09:SS,7th of every Month
TNYG75496068679017,2197,Student Loan,14436404,12.59,Pending,37780,21,YYYY-38-DD 21:38:SS,4th of every Month
IOOE89092818744760,1983,Credit Card Loan,61275945,12.48,Rejected,11636,17,YYYY-02-DD 09:02:SS,2nd of every Month
FIZR23700903925218,2038,Student Loan,51731659,9.77,Approved,28913,25,YYYY-19-DD 04:19:SS,1st of every Month
JUGL08657573028359,1162,Auto Loan,3887740,10.81,Rejected,11236,13,YYYY-58-DD 11:58:SS,1st of every Month
KGSU54196119799329,2006,Auto Loan,78203466,11.48,Rejected,44801,21,YYYY-26-DD 17:26:SS,7th of every Month
KXOZ70590176740699,2287,Home Loan,80106094,13.84,Rejected,47830,12,YYYY-28-DD 07:28:SS,3rd of every Month
MUOP80649761242469,2139,Home Loan,82052571,7.76,Rejected,14915,18,YYYY-53-DD 04:53:SS,6th of every Month
IMNB11682269252016,1465,Home Loan,59517420,7.43,Approved,48375,23,YYYY-47-DD 09:47:SS,4th of every Month
EUVD40311301488497,1505,Student Loan,4119416,7.27,Rejected,26786,14,YYYY-13-DD 03:13:SS,2nd of every Month
WUAR85659755095096,1113,Auto Loan,15329688,10.96,Rejected,37238,21,YYYY-05-DD 01:05:SS,3rd of every Month
GTIM34231707879325,2265,Auto Loan,93762992,8.29,Rejected,27447,30,YYYY-35-DD 02:35:SS,4th of every Month
QBAK38868047157548,2056,Personal Loan,4098615,11.76,Approved,28145,24,YYYY-21-DD 00:21:SS,2nd of every Month
ATJF76813916142995,2167,Home Loan,94241469,12.14,Approved,16565,26,YYYY-27-DD 16:27:SS,7th of every Month
NKRL75112819508683,2338,Business Loan,33219006,8.62,Approved,30393,24,YYYY-08-DD 09:08:SS,7th of every Month
KGYH69734342145537,1804,Student Loan,4963756,13.31,Rejected,25927,19,YYYY-07-DD 12:07:SS,5th of every Month
PTLS29273440673278,1251,Credit Card Loan,59697416,8.74,Pending,32757,3,YYYY-29-DD 21:29:SS,7th of every Month
EGOQ50582576273037,1662,Auto Loan,73712294,13.7,Approved,43747,5,YYYY-16-DD 21:16:SS,5th of every Month
QCUR73147857561400,1722,Auto Loan,85946811,8.4,Approved,19338,1,YYYY-40-DD 05:40:SS,6th of every Month
NZCX11635343052525,1710,Personal Loan,65447333,8.61,Pending,29269,28,YYYY-39-DD 16:39:SS,6th of every Month
LQNK58410403679650,2397,Business Loan,62488848,8.14,Rejected,16904,1,YYYY-16-DD 11:16:SS,1st of every Month
EBFJ39038557414717,1981,Personal Loan,58102328,7.59,Approved,48567,13,YYYY-52-DD 01:52:SS,7th of every Month
QWKS62175992232317,1788,Personal Loan,90912929,14.28,Rejected,20314,16,YYYY-10-DD 14:10:SS,4th of every Month
SKAE80482844871472,1518,Student Loan,54447392,11.3,Approved,23384,4,YYYY-02-DD 00:02:SS,2nd of every Month
NJWK85815199383044,1569,Home Loan,28014042,8.94,Rejected,31389,21,YYYY-58-DD 05:58:SS,7th of every Month
ZSAC21078263750710,1953,Business Loan,11011115,9.49,Rejected,30718,6,YYYY-01-DD 12:01:SS,6th of every Month
CKPN71675539317888,1742,Personal Loan,57176890,13.5,Pending,35059,18,YYYY-42-DD 22:42:SS,7th of every Month
KSFU02199291051544,1788,Student Loan,51216216,11.7,Approved,10253,30,YYYY-24-DD 00:24:SS,7th of every Month
SHRZ70246596122853,2167,Credit Card Loan,57084324,9.78,Rejected,30769,11,YYYY-05-DD 19:05:SS,4th of every Month
KKXC83617617301538,2030,Auto Loan,46560016,7.95,Pending,12650,29,YYYY-47-DD 16:47:SS,6th of every Month
NPEQ71721267179020,1980,Personal Loan,63532698,11.14,Rejected,33816,1,YYYY-04-DD 15:04:SS,2nd of every Month
QXZX08050373666002,2427,Home Loan,19795244,11.63,Approved,26979,7,YYYY-26-DD 21:26:SS,4th of every Month
JFCW15496391165792,1571,Student Loan,89244429,7.41,Approved,23975,3,YYYY-29-DD 07:29:SS,5th of every Month
OSRC12178128272859,1873,Business Loan,67704055,14.36,Rejected,47516,5,YYYY-23-DD 08:23:SS,3rd of every Month
DAEF37499509121539,2353,Personal Loan,42630439,13.97,Approved,12809,2,YYYY-08-DD 12:08:SS,4th of every Month
VFII52931078929243,1929,Auto Loan,33617672,10.79,Pending,25828,8,YYYY-54-DD 17:54:SS,2nd of every Month
WQER79035150203060,2306,Business Loan,49292440,9.44,Pending,34351,10,YYYY-20-DD 22:20:SS,4th of every Month
TSNJ43855553256613,2102,Auto Loan,93051547,12.39,Rejected,15693,27,YYYY-33-DD 02:33:SS,2nd of every Month
WZTV36884354730700,1878,Student Loan,8175238,11.73,Approved,19778,5,YYYY-33-DD 09:33:SS,4th of every Month
FSPW34739460640159,1054,Business Loan,8412721,9.91,Rejected,27602,8,YYYY-59-DD 09:59:SS,5th of every Month
UFXF10966774322090,1296,Personal Loan,15042085,13.77,Pending,23215,7,YYYY-08-DD 10:08:SS,3rd of every Month
LMUV17380378831464,1198,Home Loan,96265101,8.39,Rejected,12388,21,YYYY-25-DD 20:25:SS,2nd of every Month
ZWMN78353138033450,1209,Personal Loan,27285402,13.19,Approved,20626,19,YYYY-09-DD 10:09:SS,7th of every Month
RFPN16730320283286,1638,Business Loan,28859452,8.8,Rejected,31803,16,YYYY-50-DD 23:50:SS,5th of every Month
XYOX29771855145753,2336,Auto Loan,82335078,12.69,Approved,10068,16,YYYY-05-DD 11:05:SS,5th of every Month
XIUX42521657170832,1206,Credit Card Loan,10297519,12.14,Pending,41380,7,YYYY-35-DD 13:35:SS,7th of every Month
OEIN96048876864622,1959,Home Loan,44719177,8.89,Rejected,34524,27,YYYY-11-DD 02:11:SS,2nd of every Month
NMDX27423134655311,1583,Student Loan,30528671,10.76,Pending,21130,12,YYYY-17-DD 11:17:SS,7th of every Month
JURH96758093252520,1195,Personal Loan,54608568,7.81,Approved,38527,1,YYYY-49-DD 06:49:SS,4th of every Month
JBNS31045223743779,1419,Home Loan,3427365,13.95,Pending,38115,1,YYYY-05-DD 16:05:SS,6th of every Month
MVWK94920825108631,1455,Auto Loan,36842544,13.43,Rejected,13037,26,YYYY-57-DD 01:57:SS,3rd of every Month
QWVP09662664555270,1933,Home Loan,72791020,13.42,Rejected,45337,30,YYYY-02-DD 13:02:SS,6th of every Month
NLTE00121325112485,1787,Business Loan,70136386,8.21,Pending,18069,11,YYYY-10-DD 21:10:SS,6th of every Month
ZGHO08383225470461,1394,Home Loan,57456122,8.59,Approved,35855,16,YYYY-01-DD 13:01:SS,1st of every Month
MXOJ94734143816024,2168,Business Loan,95334778,14.21,Pending,41631,26,YYYY-40-DD 08:40:SS,3rd of every Month
VAEY66576278566090,1132,Personal Loan,20702973,10.86,Pending,47591,24,YYYY-48-DD 07:48:SS,7th of every Month
HYJM31555377080054,1089,Student Loan,51021942,7.91,Rejected,12876,3,YYYY-02-DD 01:02:SS,5th of every Month
GQNZ60316124575864,1247,Auto Loan,14315901,12.22,Rejected,26384,10,YYYY-03-DD 16:03:SS,3rd of every Month
YQZO08702476137757,1344,Home Loan,25814524,12.25,Approved,35618,6,YYYY-50-DD 23:50:SS,7th of every Month
UNYR76808950304167,1209,Home Loan,17687561,11.9,Rejected,30663,26,YYYY-45-DD 06:45:SS,6th of every Month
BXVV55847423451791,1324,Credit Card Loan,26967892,14.49,Approved,44116,2,YYYY-56-DD 16:56:SS,2nd of every Month
KXYF52451044922562,1877,Home Loan,55338429,7.48,Rejected,28567,14,YYYY-23-DD 03:23:SS,3rd of every Month
ZHDB60344039503979,1997,Student Loan,65631972,11.7,Rejected,46361,17,YYYY-09-DD 17:09:SS,3rd of every Month
TDOM89424968061201,1338,Auto Loan,36375785,11.79,Rejected,38438,16,YYYY-35-DD 02:35:SS,3rd of every Month
JOMS13034392863696,1548,Home Loan,34825104,10.18,Approved,11265,15,YYYY-20-DD 09:20:SS,2nd of every Month
CHVP02722982856096,2072,Student Loan,16746771,12.75,Approved,18366,25,YYYY-43-DD 02:43:SS,1st of every Month
CXOL31357200910403,2132,Personal Loan,70095812,12.48,Approved,35366,1,YYYY-21-DD 05:21:SS,2nd of every Month
ZQID78732997990919,1612,Auto Loan,73832230,11.14,Pending,14153,26,YYYY-24-DD 14:24:SS,7th of every Month
DAUQ63483008985822,1390,Personal Loan,51139184,13.53,Rejected,21238,22,YYYY-46-DD 06:46:SS,1st of every Month
SVUF66063625401049,1665,Business Loan,13074407,8.64,Pending,37322,6,YYYY-09-DD 06:09:SS,1st of every Month
BISO21450244658193,1237,Credit Card Loan,45612307,14.44,Pending,11038,20,YYYY-05-DD 14:05:SS,6th of every Month
DAIE68843974945245,2042,Student Loan,88781579,10.6,Approved,33979,25,YYYY-56-DD 12:56:SS,6th of every Month
HLBA71044757140763,1308,Home Loan,80860002,11.39,Rejected,10416,22,YYYY-39-DD 22:39:SS,7th of every Month
XSDN43665132064395,1730,Home Loan,21872167,11.77,Pending,49346,27,YYYY-16-DD 10:16:SS,1st of every Month
SNZA90376472817982,1140,Auto Loan,7169103,11.69,Rejected,10474,2,YYYY-35-DD 13:35:SS,3rd of every Month
ISXC69149626544832,1813,Auto Loan,11252218,10.53,Approved,32213,1,YYYY-55-DD 18:55:SS,2nd of every Month
ORCP40466406517352,2091,Credit Card Loan,38868767,10.65,Rejected,45389,17,YYYY-22-DD 04:22:SS,6th of every Month
JVBZ20529837871412,2117,Auto Loan,79169804,14.19,Approved,43695,2,YYYY-35-DD 21:35:SS,4th of every Month
SQYN57100977653797,2434,Business Loan,59906144,8.41,Rejected,30417,25,YYYY-00-DD 02:00:SS,4th of every Month
GKER57843718522207,2082,Student Loan,34799982,12.41,Pending,41049,10,YYYY-34-DD 10:34:SS,2nd of every Month
KIKR17402333624463,1147,Home Loan,52029622,11.2,Pending,36929,24,YYYY-03-DD 09:03:SS,4th of every Month
CVAB50607601508273,1931,Credit Card Loan,91825029,9.42,Rejected,39000,3,YYYY-35-DD 18:35:SS,1st of every Month
TUMF84211289578684,1367,Home Loan,32788087,7.53,Approved,12718,3,YYYY-41-DD 14:41:SS,4th of every Month
IFDU44359618454307,1520,Student Loan,46646417,8.48,Rejected,33935,2,YYYY-16-DD 17:16:SS,5th of every Month
CNCN54441396696711,1761,Business Loan,10454067,9.12,Pending,35375,9,YYYY-02-DD 23:02:SS,6th of every Month
WJTA10993119820657,1439,Personal Loan,14903966,14.68,Rejected,18753,8,YYYY-34-DD 04:34:SS,1st of every Month
UOLH43161941870855,1125,Home Loan,2307686,12.26,Pending,11449,16,YYYY-17-DD 15:17:SS,5th of every Month
LSVT06596592126806,1447,Credit Card Loan,2080694,11.94,Approved,14431,3,YYYY-28-DD 18:28:SS,3rd of every Month
SOYY04894070757324,2177,Credit Card Loan,92968641,9.77,Approved,15906,14,YYYY-31-DD 15:31:SS,4th of every Month
