STOCKID,STOCKNAME,STOCKSYMBOL,STOCKEXCHANGE,PURCHASEPRICE,PURCHASEDATE,QUANTITY,INVESTMENTACCOUNTID
1001,Mahindra & Mahindra Limited, M&M,BSE,131,YYYY-15-DD 02:15:SS,75,JBXF81897268538128
1002,Britannia Industries Limited, BRITANNIA,BSE,254,YYYY-20-DD 08:20:SS,37,YNQE71227932134434
1003,Bajaj Auto Limited, BAJAJ-AUTO,BSE,419,YYYY-53-DD 09:53:SS,1,MRIJ45887337725237
1004,Tata Motors Limited, TATAMOTORS,NSE,391,YYYY-20-DD 04:20:SS,46,NTPB67286748127981
1005,Larsen & Toubro Limited, LT,BSE,558,YYYY-35-DD 00:35:SS,25,OKIY48826572372066
1006,Tech Mahindra Limited, TECHM,BSE,845,YYYY-31-DD 06:31:SS,77,FFBD45030618414668
1007,Wipro Limited, WIPRO,NSE,425,YYYY-34-DD 23:34:SS,55,RVCH54764483080106
1008,Hindustan Petroleum Corporation Limited, HINDPETRO,BSE,248,YYYY-34-DD 20:34:SS,52,GZDW25661491146156
1009,Bharti Airtel Limited, BHARTIARTL,BSE,484,YYYY-37-DD 13:37:SS,33,YAVD40908857120101
1010,Infosys Limited, INFY,BSE,994,YYYY-44-DD 18:44:SS,60,OWPB30889090512711
1011,Asian Paints Limited, ASIANPAINT,BSE,245,YYYY-45-DD 14:45:SS,93,XAPS35456388656985
1012,Wipro Limited, WIPRO,NSE,573,YYYY-04-DD 03:04:SS,89,OOWV87828496587609
1013,Hindustan Petroleum Corporation Limited, HINDPETRO,BSE,495,YYYY-57-DD 22:57:SS,49,OMGG39667999574646
1014,Tata Consumer Products Limited, TATACONSUM,NSE,935,YYYY-37-DD 02:37:SS,74,RIKD32117612103254
1015,Reliance Industries Limited, RELIANCE,NSE,375,YYYY-06-DD 08:06:SS,51,MSUP27949037367785
1016,SBI Life Insurance Company Limited, SBILIFE,NSE,736,YYYY-45-DD 19:45:SS,9,NMDB63337552693053
1017,Bajaj Finance Limited, BAJFINANCE,NSE,791,YYYY-08-DD 01:08:SS,90,ZNQI65275272663354
1018,Asian Paints Limited, ASIANPAINT,BSE,507,YYYY-24-DD 12:24:SS,76,JNXG38514780252958
1019,Grasim Industries Limited, GRASIM,BSE,897,YYYY-47-DD 07:47:SS,100,BQEP12379396321424
1020,Nestle India Limited, NESTLEIND,BSE,133,YYYY-22-DD 06:22:SS,20,ZEFL57145849472861
1021,Axis Bank Limited, AXISBANK,BSE,603,YYYY-59-DD 08:59:SS,73,FZST60660857822421
1022,HDFC Bank Limited, HDFCBANK,NSE,363,YYYY-04-DD 20:04:SS,14,ROAA12423038566137
1023,Cipla Limited, CIPLA,NSE,121,YYYY-48-DD 14:48:SS,62,IBPZ12392772392727
1024,Sun Pharmaceutical Industries Limited, SUNPHARMA,NSE,323,YYYY-39-DD 08:39:SS,9,MTZG14898080581675
1025,Power Grid Corporation of India Limited, POWERGRID,NSE,534,YYYY-21-DD 15:21:SS,92,VQUQ26638157238723
1026,Shree Cement Limited, SHREECEM,BSE,447,YYYY-43-DD 10:43:SS,40,WVOZ03447650866361
1027,Bajaj Finserv Limited, BAJAJFINSV,NSE,561,YYYY-39-DD 17:39:SS,78,AONQ89489891275197
1028,Wipro Limited, WIPRO,BSE,685,YYYY-48-DD 02:48:SS,96,ZNST76706044452054
1029,Infosys Limited, INFY,NSE,243,YYYY-08-DD 12:08:SS,88,SVTL54256278394238
1030,Bajaj Finance Limited, BAJFINANCE,NSE,726,YYYY-57-DD 21:57:SS,64,CANK45738580460456
