web-scraper-order,web-scraper-start-url,typelink,typelink-href,fundname,imagesrc,fundSize
"1700801271-5558","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Thematic Advantage Fund (FOF)","https://img.smartspends.com/static/images/amc_logo/icici.png","₹1,270 Crs"
"1700801271-5559","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Passive Strategy Fund (FOF)","https://img.smartspends.com/static/images/amc_logo/icici.png","₹118 Crs"
"1700801271-5560","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Quantum Equity FoF Scheme","https://img.smartspends.com/static/images/amc_logo/quantum.png","₹98 Crs"
"1700801271-5561","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Axis Equity ETFs FoF","https://img.smartspends.com/static/images/amc_logo/axis.png","₹15 Crs"
"1700801271-5562","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential India Equity FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹79 Crs"
"1700801271-5563","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹786 Crs"
"1700801271-5564","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹265 Crs"
"1700801271-5565","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential S&P BSE 500 ETF FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹52 Crs"
"1700801271-5566","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Mirae Asset Equity Allocator FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹523 Crs"
"1700801271-5567","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Mirae Asset Nifty 100 ESG Sector Leaders FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹108 Crs"
"1700801271-5568","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Mirae Asset Nifty India Manufacturing ETF FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹53 Crs"
"1700801271-5569","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Nippon India Nifty Next 50 Junior BeES FoF","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹207 Crs"
"1700801271-5570","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Nippon India Passive Flexicap FoF","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹189 Crs"
"1700801271-5571","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Quantum Nifty 50 ETF FoF","https://img.smartspends.com/static/images/amc_logo/quantum.png","₹22 Crs"
"1700801271-5572","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Tata Nifty India Digital ETF FoF","https://img.smartspends.com/static/images/amc_logo/tata.png","₹38 Crs"
"1700801274-5573","https://www.etmoney.com/mutual-funds/explore","ContraInvests against the prevailing market trends","https://www.etmoney.com/mutual-funds/equity/contra/83","Kotak India EQ Contra Fund","https://img.smartspends.com/static/images/amc_logo/kotak.png","₹1,843 Crs"
"1700801274-5574","https://www.etmoney.com/mutual-funds/explore","ContraInvests against the prevailing market trends","https://www.etmoney.com/mutual-funds/equity/contra/83","Invesco India Contra Fund","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹11,116 Crs"
"1700801277-5575","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP US Flexible Equity Fund","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹725 Crs"
"1700801277-5576","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Invesco India - Invesco Global Equity Income FoF","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹17 Crs"
"1700801277-5577","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Sundaram Global Brand Fund","https://img.smartspends.com/static/images/amc_logo/sundaram.png","₹109 Crs"
"1700801277-5578","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Nippon India US Equity Opportunities Fund","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹563 Crs"
