web-scraper-order,web-scraper-start-url,companyName,industry,marketCap
"1700801043-3541","https://www.etmoney.com/stocks/list-of-stocks","20 Microns Ltd. 20MICRONS","Mining/minerals","₹631.63 Crs"
"1700801043-3542","https://www.etmoney.com/stocks/list-of-stocks","360 One Wam Ltd. 360ONE","Asset Management","₹19351.63 Crs"
"1700801043-3543","https://www.etmoney.com/stocks/list-of-stocks","3M India Ltd. 3MINDIA","Diversified","₹34608.55 Crs"
"1700801043-3544","https://www.etmoney.com/stocks/list-of-stocks","3P Land Holdings Ltd. 3PLAND","Real Estate","₹54 Crs"
"1700801043-3545","https://www.etmoney.com/stocks/list-of-stocks","3i Infotech Ltd. 3IINFOLTD","It Services & Consulting","₹810.08 Crs"
"1700801043-3546","https://www.etmoney.com/stocks/list-of-stocks","5Paisa Capital Ltd. 5PAISA","Investment Banking & Brokerage Services","₹1404.49 Crs"
"1700801043-3547","https://www.etmoney.com/stocks/list-of-stocks","63 Moons Technologies Ltd. 63MOONS","It Services & Consulting","₹1949.12 Crs"
"1700801043-3548","https://www.etmoney.com/stocks/list-of-stocks","A2Z Infra Engineering Ltd. A2ZINFRA","Construction & Engineering","₹211.34 Crs"
"1700801043-3549","https://www.etmoney.com/stocks/list-of-stocks","AAA Technologies Ltd. AAATECH","It Services & Consulting","₹100.05 Crs"
"1700801043-3550","https://www.etmoney.com/stocks/list-of-stocks","ABB India Ltd. ABB","Heavy Electrical Equipment","₹90294.16 Crs"
"1700801043-3551","https://www.etmoney.com/stocks/list-of-stocks","ABM International Ltd. ABMINTLLTD","Trading & Distribution","₹41.4 Crs"
"1700801043-3552","https://www.etmoney.com/stocks/list-of-stocks","ACC Ltd. ACC","Cement","₹34177.28 Crs"
"1700801043-3553","https://www.etmoney.com/stocks/list-of-stocks","ADF Foods Ltd. ADFFOODS","Food Products","₹2340.09 Crs"
"1700801043-3554","https://www.etmoney.com/stocks/list-of-stocks","AGI Greenpac Ltd. AGI","Construction Supplies & Fixtures","₹6405.04 Crs"
"1700801043-3555","https://www.etmoney.com/stocks/list-of-stocks","AGS Transact Technologies Ltd. AGSTRA","Credit Rating Agencies","₹1080.49 Crs"
"1700801043-3556","https://www.etmoney.com/stocks/list-of-stocks","AIA Engineering Ltd. AIAENG","Industrial Machinery, Equipment & Goods","₹33012.13 Crs"
"1700801043-3557","https://www.etmoney.com/stocks/list-of-stocks","AJR Infra and Tolling Ltd. AJRINFRA","Construction & Engineering","₹94.18 Crs"
"1700801043-3558","https://www.etmoney.com/stocks/list-of-stocks","AKG Exim Ltd. AKG","Trading & Distribution","₹88.97 Crs"
"1700801043-3559","https://www.etmoney.com/stocks/list-of-stocks","AMD Industries Ltd. AMDIND","Packaging","₹153.33 Crs"
"1700801043-3560","https://www.etmoney.com/stocks/list-of-stocks","AMJ Land Holdings Ltd. AMJLAND","Real Estate","₹164 Crs"
"1700801043-3561","https://www.etmoney.com/stocks/list-of-stocks","APL Apollo Tubes Ltd. APLAPOLLO","Tubes & Pipes","₹46702.51 Crs"
"1700801043-3562","https://www.etmoney.com/stocks/list-of-stocks","ARSS Infrastructure Projects Ltd. ARSSINFRA","Construction & Engineering","₹57.37 Crs"
"1700801043-3563","https://www.etmoney.com/stocks/list-of-stocks","ART Nirman Ltd. ARTNIRMAN","Construction & Engineering","₹114.8 Crs"
"1700801043-3564","https://www.etmoney.com/stocks/list-of-stocks","ASK Automotive Ltd. ASKAUTOLTD","Auto Ancillaries","₹5776.28 Crs"
"1700801043-3565","https://www.etmoney.com/stocks/list-of-stocks","AVG Logistics Ltd. AVG","Logistics","₹369.74 Crs"
"1700801043-3566","https://www.etmoney.com/stocks/list-of-stocks","AVT Natural Products Ltd. AVTNPL","Edible Oils & Solvent Extraction","₹1340.1 Crs"
"1700801043-3567","https://www.etmoney.com/stocks/list-of-stocks","AXISCADES Technologies Ltd. AXISCADES","Software Services","₹2176.67 Crs"
"1700801043-3568","https://www.etmoney.com/stocks/list-of-stocks","AYM Syntex Ltd. AYMSYNTEX","Textiles","₹333.96 Crs"
"1700801043-3569","https://www.etmoney.com/stocks/list-of-stocks","Aakash Exploration Services Ltd. AAKASH","Oil & Gas - Equipment & Services","₹70.88 Crs"
